('https://astrea.linkeddata.es/shapes#7e55213db431f79e7f40fc2497318e52', 'https://saref.etsi.org/core/PressureUnit', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#c4b64fa4bce8c5b66b94e01896c98bd1', 'https://saref.etsi.org/core/hasCommand', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#64478794b6093b0b3b562700029f0008', 'https://saref.etsi.org/core/SetRelativeLevelCommand', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ActuationConstraint', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/hasSampleDomainConstraint', 'http://www.w3.org/ns/shacl#hasSample', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#91e50ba5cb946ed6f71185c768ba8d74', 'https://saref.etsi.org/core/OffCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#97d48b7c52c359000cf0e3a3aa0b70d9', 'http://www.w3.org/ns/ssn/detects', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#5a85c18525f8403f2a44bb904fc90c39', 'https://saref.etsi.org/core/isPropertyOfInterestOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#de48b7c1c93892f52c414a1b55aa4514', 'http://www.w3.org/ns/sosa/madeSampling', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/observedPropertyDomainConstraint', 'http://www.w3.org/ns/sosa/observedProperty', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#567a05ac3de045510edf014728fd7acb', 'https://saref.etsi.org/core/consistsOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#5aaba442075d66bb2f0dd8498bcfbcfd', 'https://saref.etsi.org/core/Electricity', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/hasFeatureOfInterestOfRangeConstraint', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/hasResultRangeConstraint', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeObservationDomainConstraint', 'http://www.w3.org/ns/sosa/madeObservation', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
