('https://astrea.linkeddata.es/shapes#8f3ff07316eaf70922908ffc93eece8b', 'https://saref.etsi.org/core/NaturalResourceCommodity', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#d8fcc404ec3569ab405576151e2c63f9', 'https://saref.etsi.org/core/isMeasuredByDevice', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c3fb6ea8abe3a615c4212b0c35aadd3c', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#378884c9a8a498df70f2e193093df0af', 'http://www.w3.org/ns/ssn/implements', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/hasFeatureOfInterestOfDomainConstraint', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/hasSimpleResultDomainConstraint', 'http://www.w3.org/ns/sosa/hasSimpleResult', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeByActuatorDomainConstraint', 'http://www.w3.org/ns/sosa/madeByActuator', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://www.w3.org/ns/sosa/Observation', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/2006/time#TemporalEntity')
('http://www.w3.org/ns/sosa/ObservationCollection', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/sosa/Sensor')
('https://astrea.linkeddata.es/shapes#c186b1044a6b8571d5484d0488dd2d7b', 'http://www.w3.org/ns/sosa/Platform', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/Sampling', 'http://www.w3.org/ns/sosa/resultTime', 'http://www.w3.org/2001/XMLSchema#dateTime')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeSamplingDomainConstraint', 'http://www.w3.org/ns/sosa/madeSampling', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#c61898f24403ef1f26f4d3767e07d074', 'https://saref.etsi.org/core/Meter', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Observation', 'http://www.w3.org/ns/sosa/observedProperty', 'http://www.w3.org/ns/sosa/ObservableProperty')
('https://astrea.linkeddata.es/shapes#063d7966d5bb5967dca9c2fed9e1416a', 'http://www.w3.org/ns/sosa/isSampleOf', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/ssn/wasOriginatedBy', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeByActuatorRangeConstraint', 'http://www.w3.org/ns/sosa/madeByActuator', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SensorConstraint', 'http://www.w3.org/ns/sosa/observes', 'http://www.w3.org/ns/shacl#path')
('https://saref.etsi.org/core/Property', 'https://saref.etsi.org/core/relatesToMeasurement', 'https://saref.etsi.org/core/Measurement')
('http://www.w3.org/ns/sosa/Platform', 'http://www.w3.org/ns/sosa/hosts', 'http://www.w3.org/ns/sosa/Sensor')
('https://saref.etsi.org/core/CommandOfInterest', 'https://saref.etsi.org/core/isCommandOfInterestOf', 'https://saref.etsi.org/core/FunctionOfInterest')
('https://astrea.linkeddata.es/shapes#14ffc5caa004487c821bf9987d25341b', 'https://saref.etsi.org/core/Measurement', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isSampleOfDomainConstraint', 'http://www.w3.org/ns/sosa/isSampleOf', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://astrea.linkeddata.es/shapes#08ef36d09b3e80016857192d74871fae', 'https://saref.etsi.org/core/hasFunctionKind', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#5a85c18525f8403f2a44bb904fc90c39', 'https://saref.etsi.org/core/hasPropertyKind', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/hasResultDomainConstraint', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('https://saref.etsi.org/core/FeatureOfInterest', 'https://saref.etsi.org/core/hasStateOfInterest', 'https://saref.etsi.org/core/StateOfInterest')
('https://astrea.linkeddata.es/shapes#eaae427db99c037af2872f55bab598e5', 'https://saref.etsi.org/core/CloseState', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SensorConstraint', 'http://www.w3.org/ns/sosa/Sensor', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SampleConstraint', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ActuationConstraint', 'http://www.w3.org/ns/sosa/actsOnProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#7bf5a93636f246b0b32724c78dace32f', 'http://www.w3.org/ns/sosa/ActuatableProperty', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#8dc3528baf288c15c10840c69428e1f4', 'https://saref.etsi.org/core/CommandExecution', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/sosa/madeByActuator', 'http://www.w3.org/ns/sosa/Actuator')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isHostedByRangeConstraint', 'http://www.w3.org/ns/sosa/isHostedBy', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplerConstraint', 'http://www.w3.org/ns/ssn/implements', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplingConstraint', 'http://www.w3.org/ns/sosa/resultTime', 'http://www.w3.org/ns/shacl#path')
